id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,111,2,601,2022-05-25,3.72,1,309,44,
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,39,1,264,2021-07-03,1.78,1,58,1,
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,66,30,118,2022-05-31,0.78,1,0,2,
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,149,3,278,2022-05-22,2.12,1,90,33,
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,44,3,48,2021-11-13,0.32,1,83,2,
341382,SXSW | 4 bedroom home near Downtown,1205884,Luke And Rachel,,78702,30.26543,-97.71338,Entire home/apt,750,4,124,2019-03-17,0.99,1,0,0,
13035,Historic house in highly walkable East Austin,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,160,30,16,2022-04-29,0.12,2,260,4,
21126,Quiet Mid Century Modern Retreat with Patio and Yard,80406,Dani,,78704,30.24417,-97.73988,Entire home/apt,207,3,148,2022-05-16,1.30,12,118,26,
699485,1 rm in house - 10 mi from SXSW!!,3587826,David,,78745,30.19411,-97.78186,Entire home/apt,400,1,0,,,1,0,0,
22166,Close in Hill country views NW,84906,Stacey,,78759,30.38794,-97.76358,Entire home/apt,155,30,11,2021-01-10,0.07,1,101,0,
22828,Garage Apartment near South Congress/Riverside,56488,David,,78741,30.23614,-97.73225,Entire home/apt,60,29,47,2022-04-30,0.32,1,177,5,
701159,Boutique Condo in Historic Clarksville- near SXSW,2697403,Sabrina,,78703,30.28065,-97.75971,Entire home/apt,225,2,9,2018-04-06,0.08,1,0,0,
341530,The Austinville Cottage in SoCo,740347,Chris,,78704,30.24746,-97.75662,Entire home/apt,109,2,193,2022-05-01,1.57,2,48,5,
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,350,2,35,2022-04-25,0.25,1,332,3,
341596,South Austin Ultra Modern,1733004,Julie,,78704,30.24623,-97.75904,Private room,141,2,85,2022-05-22,0.68,1,210,17,
342039,"Garden Guesthouse, central East Austin gem.",1735494,Steph And Crew,,78702,30.25158,-97.73147,Entire home/apt,145,1,325,2022-05-22,2.61,2,114,34,
342243,Spacious Private Master Suite by the Month.,1736662,Teresa,,78759,30.41633,-97.75228,Private room,45,31,3,2020-02-13,0.06,1,342,0,
701300,Charming garden home for F1 weekend,3598921,David,,78759,30.37102,-97.74446,Entire home/apt,1250,2,0,,,1,0,0,
701392,Central ATX Private Paradise - 3BR/2BA close to DT,2207307,Elizabeth & Mike,,78705,30.2991,-97.74167,Entire home/apt,228,2,142,2020-03-11,1.26,1,0,0,
47572,Cozy Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37783,-97.70749,Private room,42,30,6,2022-01-19,0.15,1,245,1,
50318,Scooby Doo House,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,113,30,32,2022-04-30,0.23,2,298,2,
702474,"South Central Apartment, Formula 1",3605974,Courtney,,78704,30.2307,-97.76556,Private room,300,1,0,,,1,0,0,
702825,"MOD CASA: PRIVATE, HOMEY LOCAL-LIVING/ 78704",3608356,Larry,,78704,30.23573,-97.76233,Entire home/apt,293,3,217,2022-05-09,1.90,1,313,29,
704589,"Waterfront 1-bed, 2 mi. to Downtown",3619116,Amy,,78741,30.24618,-97.72823,Entire home/apt,225,2,42,2022-05-22,0.36,1,356,18,
343462,Charming Family Friendly Apartment,1742984,Rachel,,78721,30.26895,-97.68947,Entire home/apt,99,1,246,2022-05-22,1.97,1,276,3,
343889,Close-in Central/East Garage Apt,1744639,Darcy,,78702,30.27293,-97.72288,Entire home/apt,47,30,30,2022-05-09,0.24,1,90,4,
345221,Austin Historic Home Downtown SxSW,1644218,Cecily,,78701,30.27247,-97.74796,Entire home/apt,299,3,8,2019-11-03,0.06,2,0,0,
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,108,1,879,2022-06-06,6.31,2,326,115,
345473,Exquisite Boutique SoCo Cottage with Shops and Restaurants Nearby,1751224,Whitney,,78704,30.24619,-97.74569,Entire home/apt,308,2,142,2022-05-22,1.26,1,106,50,
704738,"Stunning Zilker 3/3 in Central ATX, Studio, Modern",2548002,Trent,,78704,30.25803,-97.76974,Entire home/apt,300,30,15,2019-10-14,0.13,1,0,0,
705858,Walk to South Congress from Your Retreat with Heated Pool,3626574,Bill,,78704,30.24654,-97.74713,Entire home/apt,225,1,767,2022-06-06,6.57,4,268,104,
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,158,2,178,2022-06-02,1.31,2,333,54,
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,124,2,446,2022-03-08,3.25,1,0,5,
708582,"2BR East Austin gem near food, coffee, & breweries",3644573,Topaz,,78702,30.26444,-97.69897,Entire home/apt,142,1,72,2022-05-22,0.64,2,311,52,
710276,SXSW SPECIAL - Lovely 2BD HOME,1208231,Nadia,,78704,30.24187,-97.77914,Entire home/apt,233,5,5,2016-03-07,0.05,1,0,0,
345536,Austin Artist's Hm. in Hippest Area,1752493,Gigi,,78704,30.2466,-97.76157,Entire home/apt,177,3,270,2022-06-05,2.19,2,310,37,
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23644,-97.76611,Entire home/apt,225,2,36,2021-10-25,0.63,1,86,2,
347572,East Austin Bungalow,1761506,Doug & Savanna,,78702,30.26448,-97.71715,Entire home/apt,125,2,29,2020-03-01,0.23,1,0,0,
347654,ATX -SOCO 3bd House...beats hotels!,1761915,Charm,,78704,30.23661,-97.7449,Entire home/apt,525,1,62,2022-04-10,0.50,2,162,15,
